[2025-11-19 17:37:39,624][INFO] Loading datasets...
[2025-11-19 17:37:40,842][INFO] Label Stats | Mean: 0.2345 | Std: 1.5100
[2025-11-19 17:37:40,843][INFO] Label Range | Min: -3.0000 | Max: 3.0000
[2025-11-19 17:37:42,990][INFO] Start Training...
[2025-11-19 17:37:44,448][INFO] Epoch 1 | LR: 0.001000 | Train Loss: 1.3755 | Val MAE: 1.3504 | Val Acc: 0.6355
[2025-11-19 17:37:44,448][INFO] Validation loss decreased (inf --> 1.350369).  Saving model ...
[2025-11-19 17:37:45,543][INFO] Epoch 2 | LR: 0.001000 | Train Loss: 1.1901 | Val MAE: 1.3003 | Val Acc: 0.6215
[2025-11-19 17:37:45,543][INFO] Validation loss decreased (1.350369 --> 1.300286).  Saving model ...
[2025-11-19 17:37:46,616][INFO] Epoch 3 | LR: 0.001000 | Train Loss: 0.9562 | Val MAE: 1.1534 | Val Acc: 0.6776
[2025-11-19 17:37:46,626][INFO] Validation loss decreased (1.300286 --> 1.153363).  Saving model ...
[2025-11-19 17:37:47,726][INFO] Epoch 4 | LR: 0.001000 | Train Loss: 0.8916 | Val MAE: 1.3741 | Val Acc: 0.7196
[2025-11-19 17:37:48,809][INFO] Epoch 5 | LR: 0.001000 | Train Loss: 0.8357 | Val MAE: 1.0031 | Val Acc: 0.7710
[2025-11-19 17:37:48,810][INFO] Validation loss decreased (1.153363 --> 1.003107).  Saving model ...
[2025-11-19 17:37:49,907][INFO] Epoch 6 | LR: 0.001000 | Train Loss: 0.6872 | Val MAE: 0.9938 | Val Acc: 0.7664
[2025-11-19 17:37:49,908][INFO] Validation loss decreased (1.003107 --> 0.993835).  Saving model ...
[2025-11-19 17:37:51,019][INFO] Epoch 7 | LR: 0.001000 | Train Loss: 0.6658 | Val MAE: 0.9861 | Val Acc: 0.7664
[2025-11-19 17:37:51,019][INFO] Validation loss decreased (0.993835 --> 0.986063).  Saving model ...
[2025-11-19 17:37:52,133][INFO] Epoch 8 | LR: 0.001000 | Train Loss: 0.6522 | Val MAE: 0.9790 | Val Acc: 0.7664
[2025-11-19 17:37:52,135][INFO] Validation loss decreased (0.986063 --> 0.978982).  Saving model ...
[2025-11-19 17:37:53,212][INFO] Epoch 9 | LR: 0.001000 | Train Loss: 0.6495 | Val MAE: 0.9802 | Val Acc: 0.7710
[2025-11-19 17:37:54,289][INFO] Epoch 10 | LR: 0.001000 | Train Loss: 0.6535 | Val MAE: 0.9797 | Val Acc: 0.7710
[2025-11-19 17:37:55,377][INFO] Epoch 11 | LR: 0.001000 | Train Loss: 0.6639 | Val MAE: 0.9786 | Val Acc: 0.7710
[2025-11-19 17:37:55,377][INFO] Validation loss decreased (0.978982 --> 0.978635).  Saving model ...
[2025-11-19 17:37:56,462][INFO] Epoch 12 | LR: 0.001000 | Train Loss: 0.6591 | Val MAE: 0.9774 | Val Acc: 0.7757
[2025-11-19 17:37:56,462][INFO] Validation loss decreased (0.978635 --> 0.977369).  Saving model ...
[2025-11-19 17:37:57,551][INFO] Epoch 13 | LR: 0.001000 | Train Loss: 0.6671 | Val MAE: 0.9764 | Val Acc: 0.7804
[2025-11-19 17:37:57,551][INFO] Validation loss decreased (0.977369 --> 0.976384).  Saving model ...
[2025-11-19 17:37:58,759][INFO] Epoch 14 | LR: 0.001000 | Train Loss: 0.6691 | Val MAE: 0.9756 | Val Acc: 0.7804
[2025-11-19 17:37:58,759][INFO] Validation loss decreased (0.976384 --> 0.975554).  Saving model ...
[2025-11-19 17:37:59,854][INFO] Epoch 15 | LR: 0.001000 | Train Loss: 0.6704 | Val MAE: 0.9751 | Val Acc: 0.7850
[2025-11-19 17:37:59,854][INFO] Validation loss decreased (0.975554 --> 0.975059).  Saving model ...
[2025-11-19 17:38:01,021][INFO] Epoch 16 | LR: 0.001000 | Train Loss: 0.6722 | Val MAE: 0.9749 | Val Acc: 0.7850
[2025-11-19 17:38:01,021][INFO] Validation loss decreased (0.975059 --> 0.974870).  Saving model ...
[2025-11-19 17:38:02,152][INFO] Epoch 17 | LR: 0.001000 | Train Loss: 0.6716 | Val MAE: 0.9752 | Val Acc: 0.7850
[2025-11-19 17:38:03,224][INFO] Epoch 18 | LR: 0.001000 | Train Loss: 0.6862 | Val MAE: 0.9757 | Val Acc: 0.7757
[2025-11-19 17:38:04,325][INFO] Epoch 19 | LR: 0.001000 | Train Loss: 0.6909 | Val MAE: 0.9765 | Val Acc: 0.7757
[2025-11-19 17:38:05,440][INFO] Epoch 20 | LR: 0.001000 | Train Loss: 0.6915 | Val MAE: 0.9772 | Val Acc: 0.7664
[2025-11-19 17:38:06,587][INFO] Epoch 21 | LR: 0.001000 | Train Loss: 0.7035 | Val MAE: 0.9782 | Val Acc: 0.7664
[2025-11-19 17:38:07,654][INFO] Epoch 22 | LR: 0.000500 | Train Loss: 0.7067 | Val MAE: 0.9790 | Val Acc: 0.7710
[2025-11-19 17:38:08,781][INFO] Epoch 23 | LR: 0.000500 | Train Loss: 0.7099 | Val MAE: 0.9799 | Val Acc: 0.7710
[2025-11-19 17:38:09,884][INFO] Epoch 24 | LR: 0.000500 | Train Loss: 0.7194 | Val MAE: 0.9808 | Val Acc: 0.7710
[2025-11-19 17:38:10,990][INFO] Epoch 25 | LR: 0.000500 | Train Loss: 0.7230 | Val MAE: 0.9818 | Val Acc: 0.7664
[2025-11-19 17:38:12,107][INFO] Epoch 26 | LR: 0.000500 | Train Loss: 0.7199 | Val MAE: 0.9829 | Val Acc: 0.7617
[2025-11-19 17:38:12,107][INFO] Early stopping triggered.
[2025-11-19 17:38:12,363][INFO] FINAL TEST RESULTS | MAE: 1.1730 | Acc: 0.6910 | F1: 0.6916
