[2025-11-19 17:29:20,783][INFO] Loading datasets...
[2025-11-19 17:29:21,891][INFO] Label Stats | Mean: 0.2345 | Std: 1.5100
[2025-11-19 17:29:21,892][INFO] Label Range | Min: -3.0000 | Max: 3.0000
[2025-11-19 17:29:23,976][INFO] Start Training...
[2025-11-19 17:29:25,715][INFO] Epoch 1 | LR: 0.000500 | Train Loss: 1.3038 | Val MAE: 1.4648 | Val Acc: 0.4766
[2025-11-19 17:29:25,715][INFO] Validation loss decreased (inf --> 1.464810).  Saving model ...
[2025-11-19 17:29:27,183][INFO] Epoch 2 | LR: 0.000500 | Train Loss: 1.2713 | Val MAE: 1.2885 | Val Acc: 0.6355
[2025-11-19 17:29:27,183][INFO] Validation loss decreased (1.464810 --> 1.288488).  Saving model ...
[2025-11-19 17:29:28,522][INFO] Epoch 3 | LR: 0.000500 | Train Loss: 1.0737 | Val MAE: 1.0488 | Val Acc: 0.7290
[2025-11-19 17:29:28,532][INFO] Validation loss decreased (1.288488 --> 1.048774).  Saving model ...
[2025-11-19 17:29:29,821][INFO] Epoch 4 | LR: 0.000500 | Train Loss: 0.9275 | Val MAE: 1.0392 | Val Acc: 0.7477
[2025-11-19 17:29:29,821][INFO] Validation loss decreased (1.048774 --> 1.039176).  Saving model ...
[2025-11-19 17:29:31,069][INFO] Epoch 5 | LR: 0.000500 | Train Loss: 0.8277 | Val MAE: 1.0148 | Val Acc: 0.7383
[2025-11-19 17:29:31,069][INFO] Validation loss decreased (1.039176 --> 1.014787).  Saving model ...
[2025-11-19 17:29:32,320][INFO] Epoch 6 | LR: 0.000500 | Train Loss: 0.7752 | Val MAE: 0.9609 | Val Acc: 0.7617
[2025-11-19 17:29:32,320][INFO] Validation loss decreased (1.014787 --> 0.960910).  Saving model ...
[2025-11-19 17:29:33,585][INFO] Epoch 7 | LR: 0.000500 | Train Loss: 0.7424 | Val MAE: 0.9526 | Val Acc: 0.7804
[2025-11-19 17:29:33,585][INFO] Validation loss decreased (0.960910 --> 0.952647).  Saving model ...
[2025-11-19 17:29:34,814][INFO] Epoch 8 | LR: 0.000500 | Train Loss: 0.7235 | Val MAE: 0.9476 | Val Acc: 0.7710
[2025-11-19 17:29:34,815][INFO] Validation loss decreased (0.952647 --> 0.947648).  Saving model ...
[2025-11-19 17:29:36,108][INFO] Epoch 9 | LR: 0.000500 | Train Loss: 0.7256 | Val MAE: 0.9521 | Val Acc: 0.7664
[2025-11-19 17:29:37,354][INFO] Epoch 10 | LR: 0.000500 | Train Loss: 0.7192 | Val MAE: 0.9628 | Val Acc: 0.7710
[2025-11-19 17:29:38,601][INFO] Epoch 11 | LR: 0.000500 | Train Loss: 0.7315 | Val MAE: 0.9616 | Val Acc: 0.7570
[2025-11-19 17:29:39,834][INFO] Epoch 12 | LR: 0.000500 | Train Loss: 0.7314 | Val MAE: 0.9705 | Val Acc: 0.7570
[2025-11-19 17:29:41,056][INFO] Epoch 13 | LR: 0.000500 | Train Loss: 0.7411 | Val MAE: 0.9719 | Val Acc: 0.7523
[2025-11-19 17:29:42,302][INFO] Epoch 14 | LR: 0.000250 | Train Loss: 0.7380 | Val MAE: 0.9754 | Val Acc: 0.7570
[2025-11-19 17:29:43,636][INFO] Epoch 15 | LR: 0.000250 | Train Loss: 0.7417 | Val MAE: 0.9774 | Val Acc: 0.7570
[2025-11-19 17:29:44,914][INFO] Epoch 16 | LR: 0.000250 | Train Loss: 0.7442 | Val MAE: 0.9811 | Val Acc: 0.7617
[2025-11-19 17:29:46,184][INFO] Epoch 17 | LR: 0.000250 | Train Loss: 0.7485 | Val MAE: 0.9838 | Val Acc: 0.7617
[2025-11-19 17:29:47,466][INFO] Epoch 18 | LR: 0.000250 | Train Loss: 0.7543 | Val MAE: 0.9875 | Val Acc: 0.7664
[2025-11-19 17:29:47,466][INFO] Early stopping triggered.
[2025-11-19 17:29:47,710][INFO] FINAL TEST RESULTS | MAE: 1.0700 | Acc: 0.7289 | F1: 0.7295
